Observed Value of Baseline_MG/GCN,Predicted Value of Baseline_MG/GCN,Observed Value of SEMG/GCN,Predicted Value of SEMG/GCN,Observed Value of Baseline_MG/MIGNN,Predicted Value of Baseline_MG/MIGNN,Observed Value of SEMG/MIGNN,Predicted Value of SEMG/MIGNN
72.98033012,45.85032004570484,30.87112941,56.567973202149865,35.28694368,36.374355,35.28694368,32.006397
13.88482007,47.84795759465933,18.29616546,27.5950970472756,35.80276164,44.486744,35.80276164,35.755314
69.98737297,34.29892018174857,79.52732954,65.97575481599807,87.55418753,90.97975,87.55418753,91.74681
43.58283319,37.15274856496006,3.803167764,27.46431552901983,4.225486824,0.25445384,4.225486824,4.2420087
18.97711675,4.273263310232944,16.70711364,39.90048963177681,16.84841979,50.31394,16.84841979,23.127504
19.02499104,27.823719580146072,8.041639597,44.54030545197487,4.936303419,11.880487,4.936303419,0.8015965
40.63647217,22.775461482352764,20.36311527,51.07634152818382,4.67315366,0.59357095,4.67315366,6.871934
47.77426479,60.4979156554538,77.82985513,52.43130994050801,41.07404232,41.82507,41.07404232,40.320488
0.0,40.97519107192934,39.99682926,31.67313914664298,53.27735781,48.431065,53.27735781,48.016647
4.191040534,27.384633067620097,45.52509107,47.85563467213869,40.32898976,29.45167,40.32898976,55.327625
18.1199602,32.221343871447445,16.39030586,24.033204297958015,16.33859929,20.276125,16.33859929,29.152662
3.063860217,10.2161114132528,63.372259680000006,60.85780250415444,14.0670777,9.622661,14.0670777,9.262516
10.37235966,41.63379848897874,37.45572206,43.69914690762698,26.32369704,28.813896,26.32369704,20.242939
3.074693717,28.26512471312195,38.03832948,47.58240700781107,28.5480245,28.689928,28.5480245,35.08842
0.0,28.48639799402654,16.09836574,24.122767718357295,41.08459601,42.736225,41.08459601,38.08296
0.0,3.9486191943475974,2.060581853,13.324274280403554,15.697963790000001,15.717114,15.69796379,18.64932
85.40177854,58.46359145130872,8.62455294,6.682198571510911,21.50066765,35.423244,21.50066765,24.458244
65.07775968,47.75047420787752,0.970209889,11.649544862228929,63.53284655,55.244293,63.53284655,58.41296
13.375727640000001,19.971087067966014,0.0,11.584040854287297,3.135484875,4.7776113,3.135484875,4.6844926
35.33291059,34.62047826745927,57.84627264000001,60.60819019772529,47.81434881,46.34945,47.81434881,38.1029
6.6047995760000004,9.760714091315121,64.98015189,44.20800661034971,64.24887053,61.57756,64.24887053,62.111828
33.33065232,46.31474449019104,6.536001371,36.55733696621418,83.95560608,80.868454,83.95560608,78.342255
81.99763098,51.79632384182096,86.10507439,68.84308364990115,52.43589363,65.81831,52.43589363,52.050236
11.65114169,17.468969267125726,11.68964545,31.341272438649238,2.145304957,15.412422,2.145304957,3.5632226
32.01377764,30.890104065835477,46.97084661,50.88641730706394,38.41251828,41.83165,38.41251828,35.30869
76.45126838,40.718914966880675,39.80414391,40.1430030257231,54.63240731,53.308197,54.63240731,52.653713
8.955312407,17.160355818849652,35.2030282,51.93571525015354,11.38334579,21.149965,11.38334579,17.164625
36.44526769,31.810125507799388,47.55321922,32.494201987014414,0.0,1.2257394,0.0,0.0
19.48013153,39.717303715074955,35.20060583,40.25206163336277,1.40959558,3.3894703,1.40959558,3.8302813
0.0,16.14014493950173,1.297818598,24.043019691854862,2.547971795,2.0294595,2.547971795,3.605843
46.08846314,55.266654925222994,0.0,10.273103133713677,79.30639259,80.274925,79.30639259,72.43889
11.59336493,28.196028035575747,0.0,4.027295082409345,69.0890435,68.78714,69.0890435,63.388523
68.58213231,43.74684850007057,79.34654649,66.36539630039513,0.695297498,2.6647155,0.695297498,1.7174749
21.60119174,25.38731440348327,44.50757189,22.394613172296882,0.359225753,0.19350682,0.359225753,0.0
44.9389876,60.074955177959204,86.41285544,71.88539978243709,83.68183531,86.67539,83.68183531,76.96469
0.337596865,13.48583265391141,0.0,1.0138790971930605,6.010382761,7.604822,6.010382761,15.253122
15.47495789,29.987788181831537,24.60602271,31.876757533530593,1.720185042,11.642848,1.720185042,5.436377
27.04583578,50.15229081263602,13.63572226,32.51332315514624,44.26066466,45.016224,44.26066466,51.268597
52.14546944,50.87561098604679,0.0,5.7664206073016295,59.931432310000005,54.900253,59.93143231,58.99007
66.70576357,46.422330863251986,0.0,14.51107267465934,17.35228888,29.184097,17.35228888,19.176088
72.6088082,43.68580440922826,12.65611523,29.43995598601967,28.52881836,29.672876,28.52881836,31.835825
