panel_a_x,panel_a_y1,panel_a_y2,panel_a_y_offset1,panel_a_y_offset2,panel_b_x,panel_b_y1,panel_b_y2,panel_b_y_offset1,panel_b_y_offset2
2.5,18.35,0.5,1.2,0.04,2.5,0.659,0.113,0.03,0.03
5.0,16.84,0.62,0.5,0.02,5.0,0.6,0.23,0.03,0.03
10.0,11.31,0.83,0.2,0.01,10.0,0.37,0.72,0.02,0.01
20.0,8.81,0.89,0.2,0.01,20.0,0.28,0.83,0.02,0.01
30.0,8.79,0.9,0.2,0.01,30.0,0.24,0.87,0.02,0.01
40.0,7.89,0.92,0.2,0.01,40.0,0.225,0.885,0.02,0.01
50.0,6.83,0.94,0.2,0.01,50.0,0.205,0.905,0.02,0.01
60.0,5.41,0.96,0.2,0.01,60.0,0.195,0.915,0.01,0.01
70.0,4.81,0.97,0.2,0.005,70.0,0.189,0.92,0.01,0.01
80.0,4.8,0.971,0.2,0.005,80.0,0.179,0.929,0.01,0.005
90.0,4.79,0.972,0.4,0.01,90.0,0.18,0.927,0.01,0.005
