Observed Value 1,Predicted Value 1,Observed Value 2,Predicted Value 2,Observed Value 3,Predicted Value 3,Observed Value 4,Predicted Value 4
70.41045785,27.874247,70.41045785,54.2707,10.22354965,14.290162,70.41045785,51.194458
11.06445724,14.754498,0.492662711,8.173284,0.553507484,4.606838,11.06445724,24.037703
43.17813797,44.549374,43.17813797,47.910366,69.51698512,51.958927,10.22354965,11.62043
69.51698512,41.435738,1.036456102,0.82526326,35.53815083,28.095064,1.023181291,27.431139
35.53815083,28.789392,4.961974313,5.715875,18.412337,21.296465,8.50474803,9.363764
8.50474803,18.20857,0.0,20.739613,1.036456102,4.164573,18.412337,38.983925
18.412337,47.554405,14.36942688,36.486485,55.41075316,33.751865,14.36942688,46.291286
55.41075316,52.304703,73.08177999,65.4871,0.0,20.012072,42.52691913,41.998875
0.0,87.783226,42.52691913,38.948784,62.39976577,45.684998,64.57811697,72.466194
14.36942688,10.865737,0.638545637,3.0865383,64.57811697,48.924637,9.80291595,21.46497
62.39976577,57.08241,51.10248957,38.304012,0.638545637,5.341072,33.20741805,42.62882
64.57811697,64.95937,27.22195897,33.170784,9.80291595,18.010054,51.10248957,49.05222
59.7949718,56.72971,71.09717455,57.251694,63.46127974,47.461937,7.7649642,35.799038
9.80291595,9.474037,7.7649642,2.7059886,51.10248957,36.447914,22.41656552,33.132122
37.45572206,57.085056,0.0,0.1263601,27.22195897,45.123623,21.33105034,20.972784
63.46127974,39.823616,21.33105034,34.872593,40.09723237,38.855667,54.63240731,50.35073
51.10248957,39.281563,71.55294754,67.58349,71.09717455,53.9248,45.08048043,43.56336
27.22195897,43.996655,2.443106533,7.544125,22.41656552,25.341887,74.04736649,47.04183
71.09717455,85.323524,45.08048043,47.232567,0.0,-1.7495091,66.89026205,57.013218
22.41656552,48.431644,38.91690391,31.154156,21.33105034,24.675507,66.20793624,72.36531
21.33105034,23.033575,75.97219172,67.01052,71.55294754,66.43239,46.67086698,42.434914
97.56849953,88.041214,92.12702212,76.79465,45.08048043,44.370857,7.911192525,3.6641855
22.07470925,32.42253,74.04736649,27.438684,97.56849953,77.421486,47.81434881,37.915073
92.12702212,83.79083,39.70763397,44.10288,38.91690391,32.71427,40.08669181,63.145683
74.04736649,29.66202,66.89026205,59.425007,22.07470925,35.43525,0.0,0.1932455
26.51352578,45.943,41.73289196,43.367065,46.25838016,45.082058,16.97838607,14.970851
66.20793624,79.3989,46.25838016,48.67724,26.51352578,30.143042,49.11143206,46.56757
40.08669181,55.589813,26.51352578,27.42893,66.26745697,48.80454,37.12306374,74.348274
2.344713425,25.379368,66.20793624,71.49948,66.20793624,58.31544,30.72459608,46.949024
38.4179882,29.41858,46.67086698,44.45871,7.911192525,7.9905696,11.30133212,25.629309
37.12306374,49.550537,73.57415684,63.78368,40.08669181,46.347473,9.627089409,21.591589
30.72459608,17.36391,47.81434881,40.674107,24.59821074,23.942091,69.13688603,64.70103
51.8134607,46.086155,45.15638688,40.933727,49.11143206,46.873947,74.62339174,73.178154
74.62339174,72.69257,24.59821074,28.845331,38.4179882,45.38668,70.00785114,56.557667
54.29333472,37.744274,0.0,7.19031,52.37811419,55.38117,0.0,10.905482
57.9744807,64.671394,49.11143206,36.522034,49.46765787,33.08955,69.97034068,71.68849
41.4297554,64.89909,41.67771463,40.618095,30.72459608,28.971077,8.546147234,21.0635
8.546147234,10.521851,75.02467082,69.942024,79.44483195,79.06068,5.992320527,2.2176986
15.69796379,31.52443,30.72459608,43.89425,9.627089409,16.680288,1.222906926,6.8621225
80.80959568,72.80485,11.30133212,2.6359158,74.62339174,66.91419,15.9216391,16.837635
83.65366275,83.164474,79.44483195,66.737274,14.9053934,8.9604,1.831351486,7.993792
32.57727167,25.683844,46.64994849,43.31775,35.87055638,36.96357,16.72117045,19.76636
1.957264533,82.92986,69.13688603,60.549946,54.29333472,44.856094,0.0,1.8827206
11.67138777,20.644701,74.62339174,65.810104,70.00785114,63.581856,1.309393322,5.440134
0.0,5.1989956,14.9053934,23.907202,32.25917309,30.968786,7.802080337,5.0699463
63.62909921,44.886036,35.87055638,42.30018,25.0144043,30.169699,22.61165831,37.179264
1.309393322,15.930346,61.4373102,57.688957,8.546147234,14.455503,0.0,20.871328
49.89638876,46.42316,54.29333472,37.915176,15.69796379,27.035145,19.47378974,27.289993
22.61165831,18.074255,37.4061745,33.23116,9.043513945,13.542866,21.37540077,52.714146
0.0,33.18534,9.293896224,9.943289,68.71737558,55.229992,75.95426954,63.64621
35.92744664,31.39523,34.84480888,42.429504,83.65366275,70.30551,14.72607829,28.13164
7.182520972,87.35561,15.30703648,12.465604,78.80108905,75.46055,39.75657581,66.52016
21.37540077,17.775549,25.0144043,30.168533,32.01377764,16.837343,0.566845941,1.5222658
75.95426954,59.34291,30.77223842,27.550388,7.782359234,20.26574,0.0,0.19303188
14.39054676,56.601818,69.97034068,59.910057,0.0,-4.9304466,13.59760256,6.837249
39.75657581,51.180573,19.31180946,23.46621,0.0,7.0215116,1.03540736,4.6323943
45.52509107,61.262966,80.80959568,45.236526,19.55154349,11.095708,64.27233548,49.076298
26.7561311,27.86343,68.71737558,63.02037,15.9216391,17.604382,29.29817829,22.493145
0.0,15.008068,83.65366275,78.03739,0.0,3.7693925,8.373801377,17.637556
52.72286451,74.12609,78.80108905,65.31302,3.864236463,6.3952127,1.918248424,3.494427
79.68761126,77.19944,7.782359234,13.9144945,11.67138777,15.087769,73.53944548,58.076607
58.39892185,46.936337,1.222906926,4.3661146,59.48668549,59.16162,10.54082024,30.256792
73.53944548,37.843533,16.10027076,9.2684765,0.0,4.466439,0.948128865,2.3800778
10.54082024,24.689493,0.0,0.2640849,63.62909921,49.96895,4.471163192,7.295292
46.38749412,68.35899,19.55154349,30.423016,1.309393322,-3.4579215,4.497312079,32.465572
62.53548833,57.037544,0.0,1.4037164,49.89638876,52.55984,0.230274449,2.8814213
4.497312079,36.923798,1.831351486,7.2527804,7.802080337,10.73173,0.0,0.095748365
2.39840777,33.315765,47.5989822,39.798145,22.61165831,33.774265,11.17697809,9.645549
11.17697809,5.479331,18.20662132,13.909403,35.92744664,37.996952,19.46778248,15.1465
24.97274403,28.805962,3.864236463,5.539463,7.182520972,17.17947,26.50151753,40.338245
0.955483806,52.13542,1.957264533,6.409303,21.37540077,8.224954,24.97274403,38.139595
61.80067802,81.2526,59.48668549,54.6841,0.566845941,7.372653,0.955483806,40.447437
1.660025621,31.16026,0.954745242,5.6207905,26.7561311,26.118376,7.372693174,7.8842745
41.28086675,66.388145,22.61165831,36.250786,42.94679968,29.557152,1.660025621,33.288033
33.50615076,72.69962,35.92744664,43.199818,64.27233548,48.86934,70.86219062,59.351505
62.65745672,71.23326,7.182520972,20.284855,69.07936453,58.474728,12.28165388,2.7967432
60.49224443,64.04652,21.37540077,43.45726,58.95423439,42.18106,72.26820117,58.53011
57.84627264,49.557476,14.39054676,40.837116,29.29817829,31.98863,2.968869757,17.757828
72.26820117,68.080414,0.566845941,1.3350701,4.191040534,11.759876,63.56506276,67.04053
78.37132703,66.639915,26.7561311,20.956192,8.373801377,16.581398,15.721696,12.821156
88.44485055,69.16245,0.0,3.7905521,30.36311877,33.117424,7.108204477,3.1569157
