x,y
 HF ,7.48301592
F1B1,7.64238464
F2B1,7.61132733
F3B1,7.61582638
F4B1,7.61318729
F5B1,7.61764728
F1B2,3.40563641
F2B2,3.35422327
F3B2,3.35855506
F4B2,3.35321047
F5B2,3.35971136
F1B3,3.68735507
F2B3,3.59553143
F3B3,3.60741591
F4B3,3.61134387
F5B3,3.60230186
F1B4,2.09907356
F2B4,1.77991851
F3B4,1.76229646
F4B4,1.75966589
F5B4,1.7571632
F1B5,1.8357038
F2B5,1.7557061
F3B5,1.72249104
F4B5,1.74037469
F5B5,1.7039159
F1B6,2.53154974
F2B6,1.71037258
F3B6,1.64305856
F4B6,1.6515589
F5B6,1.60651919
F1B7,1.20337464
F2B7,0.2375853
F3B7,0.21480433
F4B7,0.150675
F5B7,0.0
