Data Splitting,R2 of Yield-BERT24,R2 of DRFP21,R2 of MFF22,R2 of SEMG-MIGNN
Random 90/10,0.962 ¡À 0.040,0.965 ¡À 0.010,0.943 ¡À 0.010,0.970 ¡À 0.010
Random 80/20,0.957 ¡À 0.010,0.953 ¡À 0.005,0.931 ¡À 0.010,0.971 ¡À 0.005
Random 70/30,0.952 ¡À  0.005,0.951 ¡À 0.005,0.921 ¡À 0.010,0.969 ¡À 0.005
Random 60/40,0.934 ¡À 0.010,0.932 ¡À 0.010,0.918 ¡À 0.010,0.963 ¡À 0.010
Random 50/50,0.922 ¡À 0.010,0.929 ¡À 0.010,0.904 ¡À 0.010,0.941 ¡À 0.010
Random 40/60,0.901 ¡À 0.010,0.899 ¡À 0.010,0.881 ¡À 0.020,0.921 ¡À 0.010
Random 30/70,0.883 ¡À 0.010,0.897 ¡À 0.010,0.863 ¡À 0.010,0.903 ¡À 0.010
Random 20/80,0.862 ¡À 0.010,0.878 ¡À 0.010,0.839 ¡À 0.010,0.883 ¡À 0.010
Random 10/90,0.791 ¡À 0.020,0.813 ¡À 0.010,0.773 ¡À 0.010,0.834 ¡À 0.010
Test 1a,0.843 ¡À 0.010,0.809 ¡À 0.010,0.853 ¡À 0.010,0.848 ¡À 0.010
Test 2a ,0.841 ¡À 0.030,0.832 ¡À 0.003,0.713 ¡À 0.005,0.867 ¡À 0.010
Test 3a,0.753 ¡À 0.040,0.710 ¡À 0.001,0.641 ¡À 0.005,0.776 ¡À 0.020
Test 4a,0.492 ¡À 0.050,0.491 ¡À 0.004,0.178 ¡À 0.010,0.677 ¡À 0.020
Avg.1-4,0.732,0.711,0.596,0.792
