Data Splitting,DRFP21,,MFF,,SEMG-MIGNN,
,R2,RMSE,R2,RMSE,R2,RMSE
Random 90/10,0.903 ¡À  0.010,0.190 ¡À 0.010,0.910 ¡À 0.010,0.183 ¡À 0.010,0.927 ¡À 0.005,0.180 ¡À 0.010
Random 80/20,0.890 ¡À  0.010,0.223 ¡À 0.010,0.908 ¡À 0.010,0.194 ¡À 0.020,0.929 ¡À 0.005,0.179 ¡À 0.010
Random 70/30,0.886 ¡À 0.010,0.201 ¡À 0.010,0.895 ¡À 0.010,0.212 ¡À 0.020,0.920 ¡À 0.010,0.189 ¡À 0.010
Random 60/40,0.873 ¡À 0.020,0.240 ¡À 0.020,0.890 ¡À 0.010,0.230 ¡À 0.020,0.915 ¡À 0.010,0.195 ¡À 0.010
Random 50/50,0.869 ¡À 0.020,0.248 ¡À 0.030,0.888 ¡À 0.020,0.227 ¡À 0.030,0.905 ¡À 0.010,0.205 ¡À 0.020
Random 40/60,0.864 ¡À 0.020,0.256 ¡À 0.030,0.885 ¡À 0.020,0.238 ¡À 0.030,0.887 ¡À 0.010,0.221 ¡À 0.020
Random 30/70,0.863 ¡À 0.020,0.259 ¡À 0.030,0.868 ¡À 0.020,0.243 ¡À 0.030,0.872 ¡À 0.010,0.240 ¡À 0.020
Random 20/80,0.833 ¡À 0.030,0.286 ¡À 0.040,0.861 ¡À 0.030,0.258 ¡À 0.030,0.834 ¡À 0.010,0.281 ¡À 0.020
Random 10/90,0.823 ¡À 0.020,0.291 ¡À 0.020,0.776 ¡À 0.030,0.426 ¡À 0.030,0.721 ¡À 0.010,0.370 ¡À 0.020
Iminea,0.904 ¡À 0.005,0.235 ¡À 0.005,0.911 ¡À 0.005,0.226 ¡À 0.005,0.902 ¡À 0.005,0.238 ¡À 0.005
Thiola,-1.585 ¡À 0.020,0.773 ¡À 0.020,-1.283 ¡À 0.020,0.726 ¡À 0.020,0.611 ¡À 0.010,0.300 ¡À 0.010
Catalysta,0.127 ¡À 0.020,0.561 ¡À 0.020,0.402 ¡À 0.020,0.464 ¡À 0.020,0.753 ¡À 0.010,0.298 ¡À 0.010
Transformationa,0.885 ¡À 0.005,0.233 ¡À 0.005,0.835 ¡À 0.005,0.264 ¡À 0.005,0.912 ¡À 0.005,0.205 ¡À 0.005
